District Name,School Code,School Name,Year,State Board Region,Grade Span,Missed Days due to Hurricane Florence,Subgroup,ACT/ACT WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Black,16.3,89.5,73.3,77.1
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Hispanic,16.8,93.8,61.9,57.9
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Two or More Races,*,>95,70.6,*
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,White,*,86.7,52.4,53.3
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Economically Disadvantaged,15.8,92.3,69.6,67.7
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,English Learner,<5,92.7,53.2,51.9
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Students With Disabilities,5.3,39.5,58.7,54.1
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Homeless,21.1,86.2,77.2,74.1
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Not Economically Disadvantaged,18,91.4,65.4,66.1
Charlotte-Mecklenburg Schools,600397,Garinger High,'18-'19,Southwest,12-Sep,3,Not a Student with Disabilities,17.8,>95,68.3,68.5
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,All Students,94.4,>95,>95,>95
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Female,>95,>95,93.9,>95
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Male,93.3,>95,>95,94.1
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Black,>95,>95,>95,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Hispanic,86.7,>95,>95,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,White,>95,>95,94.4,93.8
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Economically Disadvantaged,92.9,>95,>95,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Academically or Intellectually Gifted,>95,>95,>95,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Not Economically Disadvantaged,94.7,>95,>95,>95
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'18-'19,Southwest,13-Nov,3,Not a Student with Disabilities,94.4,>95,>95,>95
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,All Students,17.8,89.2,55.6,61.3
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Female,15.5,91.8,66.2,71.4
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Male,20,86.8,47.6,52.4
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Asian,33.3,86.7,>95,72.7
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Black,12.9,89.2,68.3,75.2
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Hispanic,21.5,90,40.6,43.8
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Two or More Races,*,*,*,54.5
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,White,*,80,53.8,*
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Economically Disadvantaged,19.8,89.2,54.5,65.2
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,English Learner,<5,84.1,42.1,30.6
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Students With Disabilities,<5,45.9,39.3,58.8
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Homeless,23.1,90.5,56.9,68.8
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Not Economically Disadvantaged,16.4,89.2,56.4,58
Charlotte-Mecklenburg Schools,600405,Harding University High,'18-'19,Southwest,12-Sep,3,Not a Student with Disabilities,19.1,>95,57.8,61.6
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,All Students,50.3,89.7,84.6,88.7
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Female,52.2,91.7,87,89.3
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Male,48.2,87.4,82,88.3
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Black,34.1,88.4,82.7,88.4
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Hispanic,38.5,89,78,84.7
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Two or More Races,64.3,93.3,88.2,>95
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,White,80.8,91.1,90.7,90
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Economically Disadvantaged,35,86.5,81.3,85.1
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,English Learner,<5,72.7,73.3,81.8
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Students With Disabilities,25,52.1,70,82.9
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Academically or Intellectually Gifted,>95,>95,88.9,>95
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Homeless,*,70,79.2,68.8
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Not Economically Disadvantaged,60.4,92,87,91.9
Charlotte-Mecklenburg Schools,600415,Hopewell High,'18-'19,Southwest,12-Sep,3,Not a Student with Disabilities,52.1,94.7,86.8,89.4
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,All Students,49.3,94.5,85.6,90.1
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Female,54,94.7,89.1,92.4
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Male,44.8,94.2,82.4,87.6
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Asian,47.8,>95,82.9,85.7
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Black,35.8,91.5,91.9,92.8
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Hispanic,32.4,>95,77.3,86.3
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Two or More Races,60.9,>95,88,94.7
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,White,76.5,94.5,89.4,91.2
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Economically Disadvantaged,33.6,91.8,81.3,88.5
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,English Learner,<5,88.2,64,82
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Students With Disabilities,9.5,65,78.7,71.2
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Academically or Intellectually Gifted,>95,>95,94.4,>95
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Homeless,18.2,>95,88,84
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Not Economically Disadvantaged,61.5,>95,89.4,91.8
Charlotte-Mecklenburg Schools,600426,Independence High,'18-'19,Southwest,12-Sep,3,Not a Student with Disabilities,53,>95,86.4,92.1
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'18-'19,Southwest,12-Jun,3,All Students,*,75,*,*
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'18-'19,Southwest,12-Jun,3,Male,*,71.4,*,*
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'18-'19,Southwest,12-Jun,3,Black,*,80,*,*
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'18-'19,Southwest,12-Jun,3,Economically Disadvantaged,*,70,*,*
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'18-'19,Southwest,12-Jun,3,Not a Student with Disabilities,*,85.7,*,*
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,All Students,>95,>95,>95,>95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,Female,94,>95,>95,>95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,Male,>95,>95,>95,>95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,Black,83.3,>95,>95,>95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,Hispanic,*,*,>95,92.9
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,White,>95,>95,>95,>95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'18-'19,Southwest,13-Nov,3,Economically Disadvantaged,>95,>95,>95,>95
