Lea State,LEA,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte Lab School,3700391,2015,Instructional Aides,22966,1,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2015,School Administration Staff,286508,5.5,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2015,Support Services Staff (for Pupils and for Instructional Staff),112779,2.5,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2015,Non-Personnel Expenditures,1253930,,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2015,Total enrollment,,,2,10,0,22,64,178,16,292,11,0,2
NC,Commonwealth High School,3700382,2015,Salary Amount for Total Personnel (instructional support services and school administration),610424,,,,,,,,,,,,
NC,Commonwealth High School,3700382,2015,Salary Amount for Teachers,354657,,,,,,,,,,,,
NC,Commonwealth High School,3700382,2015,Instructional Aides,27907,1,,,,,,,,,,,
NC,Commonwealth High School,3700382,2015,School Administration Staff,148756,2,,,,,,,,,,,
NC,Commonwealth High School,3700382,2015,Support Services Staff (for Pupils and for Instructional Staff),79102,2,,,,,,,,,,,
NC,Commonwealth High School,3700382,2015,Non-Personnel Expenditures,917458,,,,,,,,,,,,
NC,Commonwealth High School,3700382,2015,Total enrollment,,,4,2,0,58,190,13,10,277,8,0,10
NC,Metrolina Regional Scholars Academy,3700107,2015,Salary Amount for Total Personnel (instructional support services and school administration),1500775,,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2015,Salary Amount for Teachers,1115605,,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2015,Instructional Aides,161516,6,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2015,School Administration Staff,150461,2,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2015,Support Services Staff (for Pupils and for Instructional Staff),73191,27,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2015,Non-Personnel Expenditures,822364,,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2015,Total enrollment,,,0,175,0,16,10,154,10,365,13,7,0
NC,Aristotle Preparatory Academy,3700350,2015,Salary Amount for Total Personnel (instructional support services and school administration),687413,,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2015,Salary Amount for Teachers,440731,,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2015,Instructional Aides,127987,8,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2015,School Administration Staff,86287,2,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2015,Support Services Staff (for Pupils and for Instructional Staff),32408,2,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2015,Non-Personnel Expenditures,440344,,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2015,Total enrollment,,,0,0,0,2,160,7,7,176,17,0,0
NC,Charlotte-Mecklenburg Schools,3702970,2015,Salary Amount for Total Personnel (instructional support services and school administration),576149440,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2015,Salary Amount for Teachers,427189152,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2015,Instructional Aides,29299502,1746.89,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2015,School Administration Staff,43785888,447.03,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2015,Support Services Staff (for Pupils and for Instructional Staff),75874896,1412.84,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2015,Non-Personnel Expenditures,50911160,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2015,Total enrollment,,,717,9073,253,33331,59079,43209,3608,149270,13216,3074,16491
NC,KIPP: Charlotte,3700142,2015,Salary Amount for Total Personnel (instructional support services and school administration),1955405,,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2015,Salary Amount for Teachers,938291,,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2015,Instructional Aides,29278,1,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2015,School Administration Staff,722985,10.6,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2015,Support Services Staff (for Pupils and for Instructional Staff),101795,3,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2015,Non-Personnel Expenditures,1092183,,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2015,Total enrollment,,,0,0,0,19,361,4,7,391,50,0,4
NC,Invest Collegiate,3700333,2015,Salary Amount for Total Personnel (instructional support services and school administration),2155998,,,,,,,,,,,,
NC,Invest Collegiate,3700333,2015,Salary Amount for Teachers,1769052,,,,,,,,,,,,
NC,Invest Collegiate,3700333,2015,Instructional Aides,154771,5,,,,,,,,,,,
NC,Invest Collegiate,3700333,2015,School Administration Staff,182562,4,,,,,,,,,,,
NC,Invest Collegiate,3700333,2015,Support Services Staff (for Pupils and for Instructional Staff),49610,3,,,,,,,,,,,
NC,Invest Collegiate,3700333,2015,Non-Personnel Expenditures,2089166,,,,,,,,,,,,
NC,Invest Collegiate,3700333,2015,Total enrollment,,,10,40,2,55,520,121,34,782,38,0,7
NC,Sugar Creek Charter,3700089,2015,Salary Amount for Total Personnel (instructional support services and school administration),6002903,,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2015,Salary Amount for Teachers,3997266,,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2015,Instructional Aides,694302,26,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2015,School Administration Staff,388545,6,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2015,Support Services Staff (for Pupils and for Instructional Staff),922789,18,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2015,Non-Personnel Expenditures,2986184,,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2015,Total enrollment,,,0,4,0,79,1282,10,2,1377,77,25,19
NC,VERITAS Community School,3700393,2015,Salary Amount for Total Personnel (instructional support services and school administration),491381,,,,,,,,,,,,
NC,VERITAS Community School,3700393,2015,Salary Amount for Teachers,350134,,,,,,,,,,,,
NC,VERITAS Community School,3700393,2015,Instructional Aides,84996,4,,,,,,,,,,,
NC,VERITAS Community School,3700393,2015,School Administration Staff,56250,2,,,,,,,,,,,
NC,VERITAS Community School,3700393,2015,Support Services Staff (for Pupils and for Instructional Staff),0,0,,,,,,,,,,,
NC,VERITAS Community School,3700393,2015,Non-Personnel Expenditures,413448,,,,,,,,,,,,
NC,VERITAS Community School,3700393,2015,Total enrollment,,,0,2,0,7,31,52,16,108,2,4,0
NC,Queen City STEM School,3700392,2015,Salary Amount for Total Personnel (instructional support services and school administration),958028,,,,,,,,,,,,
NC,Queen City STEM School,3700392,2015,Salary Amount for Teachers,690000,,,,,,,,,,,,
NC,Queen City STEM School,3700392,2015,Instructional Aides,59061,2,,,,,,,,,,,
NC,Queen City STEM School,3700392,2015,School Administration Staff,140049,2,,,,,,,,,,,
NC,Queen City STEM School,3700392,2015,Support Services Staff (for Pupils and for Instructional Staff),46885,1,,,,,,,,,,,
NC,Queen City STEM School,3700392,2015,Non-Personnel Expenditures,807712,,,,,,,,,,,,
NC,Queen City STEM School,3700392,2015,Total enrollment,,,7,79,0,22,121,52,19,300,4,0,19
NC,Community Charter School,3700032,2015,Salary Amount for Total Personnel (instructional support services and school administration),135480,,,,,,,,,,,,
NC,Community Charter School,3700032,2015,Salary Amount for Teachers,288833,,,,,,,,,,,,
NC,Community Charter School,3700032,2015,Instructional Aides,0,0,,,,,,,,,,,
NC,Community Charter School,3700032,2015,School Administration Staff,75000,2,,,,,,,,,,,
NC,Community Charter School,3700032,2015,Support Services Staff (for Pupils and for Instructional Staff),60480,2,,,,,,,,,,,
NC,Community Charter School,3700032,2015,Non-Personnel Expenditures,351551,,,,,,,,,,,,
NC,Community Charter School,3700032,2015,Total enrollment,,,0,0,0,7,82,13,2,104,14,0,0
NC,Sugar Creek Charter,3700089,2017,Salary Amount for Total Personnel (instructional support services and school administration),7535420,,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2017,Salary Amount for Teachers,5480983,,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2017,Instructional Aides,654410,16,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2017,School Administration Staff,400350,4,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2017,Support Services Staff (for Pupils and for Instructional Staff),999677,25,,,,,,,,,,,
NC,Sugar Creek Charter,3700089,2017,Non-Personnel Expenditures,3169571,,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2017,Salary Amount for Total Personnel (instructional support services and school administration),1157174,,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2017,Salary Amount for Teachers,832996,,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2017,Instructional Aides,30525,1,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2017,School Administration Staff,213086,4,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2017,Support Services Staff (for Pupils and for Instructional Staff),82477,3,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2017,Non-Personnel Expenditures,978280,,,,,,,,,,,,
NC,Corvian Community School,3700327,2017,Salary Amount for Total Personnel (instructional support services and school administration),3098410,,,,,,,,,,,,
NC,Corvian Community School,3700327,2017,Salary Amount for Teachers,1895696,,,,,,,,,,,,
NC,Corvian Community School,3700327,2017,Instructional Aides,356693,22,,,,,,,,,,,
NC,Corvian Community School,3700327,2017,School Administration Staff,423145,9,,,,,,,,,,,
NC,Corvian Community School,3700327,2017,Support Services Staff (for Pupils and for Instructional Staff),204823,8,,,,,,,,,,,
NC,Corvian Community School,3700327,2017,Non-Personnel Expenditures,1759369,,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2017,Salary Amount for Total Personnel (instructional support services and school administration),2513989,,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2017,Salary Amount for Teachers,1734602,,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2017,Instructional Aides,3583,0,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2017,School Administration Staff,572657,8,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2017,Support Services Staff (for Pupils and for Instructional Staff),203204,4,,,,,,,,,,,
NC,KIPP: Charlotte,3700142,2017,Non-Personnel Expenditures,2699148,,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2017,Salary Amount for Total Personnel (instructional support services and school administration),1308528,,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2017,Salary Amount for Teachers,773586,,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2017,Instructional Aides,264000,12,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2017,School Administration Staff,259000,5,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2017,Support Services Staff (for Pupils and for Instructional Staff),0,0,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2017,Non-Personnel Expenditures,1087521,,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2017,Salary Amount for Total Personnel (instructional support services and school administration),1631534,,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2017,Salary Amount for Teachers,1264579,,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2017,Instructional Aides,139229,4,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2017,School Administration Staff,164589,2,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2017,Support Services Staff (for Pupils and for Instructional Staff),63265,2,,,,,,,,,,,
NC,Metrolina Regional Scholars Academy,3700107,2017,Non-Personnel Expenditures,818811,,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2017,Salary Amount for Total Personnel (instructional support services and school administration),359254,,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2017,Salary Amount for Teachers,201302,,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2017,Instructional Aides,0,0,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2017,School Administration Staff,127147,2,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2017,Support Services Staff (for Pupils and for Instructional Staff),30805,2,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2017,Non-Personnel Expenditures,809117,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2017,Salary Amount for Total Personnel (instructional support services and school administration),620994048,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2017,Salary Amount for Teachers,457705984,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2017,Instructional Aides,36478516,1765.78,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2017,School Administration Staff,40727360,437.85,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2017,Support Services Staff (for Pupils and for Instructional Staff),86082184,1534.07,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,3702970,2017,Non-Personnel Expenditures,49323772,,,,,,,,,,,,
NC,Mallard Creek STEM Academy,3700410,2017,Salary Amount for Total Personnel (instructional support services and school administration),2052876,,,,,,,,,,,,
NC,Mallard Creek STEM Academy,3700410,2017,Salary Amount for Teachers,1807960,,,,,,,,,,,,
NC,Mallard Creek STEM Academy,3700410,2017,Instructional Aides,61038,2,,,,,,,,,,,
NC,Mallard Creek STEM Academy,3700410,2017,School Administration Staff,90000,1,,,,,,,,,,,
NC,Mallard Creek STEM Academy,3700410,2017,Support Services Staff (for Pupils and for Instructional Staff),93878,6,,,,,,,,,,,
NC,Mallard Creek STEM Academy,3700410,2017,Non-Personnel Expenditures,2603814,,,,,,,,,,,,
NC,United Community School,3700367,2017,Salary Amount for Total Personnel (instructional support services and school administration),918632,,,,,,,,,,,,
NC,United Community School,3700367,2017,Salary Amount for Teachers,540259,,,,,,,,,,,,
NC,United Community School,3700367,2017,Instructional Aides,192450,11,,,,,,,,,,,
NC,United Community School,3700367,2017,School Administration Staff,142688,3,,,,,,,,,,,
NC,United Community School,3700367,2017,Support Services Staff (for Pupils and for Instructional Staff),43233,2,,,,,,,,,,,
NC,United Community School,3700367,2017,Non-Personnel Expenditures,911657,,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2017,Salary Amount for Total Personnel (instructional support services and school administration),2284134,,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2017,Salary Amount for Teachers,1693630,,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2017,Instructional Aides,226871,5,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2017,School Administration Staff,298227,6,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2017,Support Services Staff (for Pupils and for Instructional Staff),65406,2,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2017,Non-Personnel Expenditures,1628344,,,,,,,,,,,,
NC,VERITAS Community School,3700393,2017,Salary Amount for Total Personnel (instructional support services and school administration),994816,,,,,,,,,,,,
NC,VERITAS Community School,3700393,2017,Salary Amount for Teachers,590583,,,,,,,,,,,,
NC,VERITAS Community School,3700393,2017,Instructional Aides,94790,3,,,,,,,,,,,
NC,VERITAS Community School,3700393,2017,School Administration Staff,211943,5,,,,,,,,,,,
NC,VERITAS Community School,3700393,2017,Support Services Staff (for Pupils and for Instructional Staff),97500,2,,,,,,,,,,,
NC,VERITAS Community School,3700393,2017,Non-Personnel Expenditures,141826,,,,,,,,,,,,
NC,Bradford Preparatory School,3700356,2017,Salary Amount for Total Personnel (instructional support services and school administration),4762630,,,,,,,,,,,,
NC,Bradford Preparatory School,3700356,2017,Salary Amount for Teachers,3576009,,,,,,,,,,,,
NC,Bradford Preparatory School,3700356,2017,Instructional Aides,189107,8.1,,,,,,,,,,,
NC,Bradford Preparatory School,3700356,2017,School Administration Staff,436769,12.7,,,,,,,,,,,
NC,Bradford Preparatory School,3700356,2017,Support Services Staff (for Pupils and for Instructional Staff),560745,15.8,,,,,,,,,,,
NC,Bradford Preparatory School,3700356,2017,Non-Personnel Expenditures,2717031,,,,,,,,,,,,
NC,Invest Collegiate,3700333,2017,Salary Amount for Total Personnel (instructional support services and school administration),1875408,,,,,,,,,,,,
NC,Invest Collegiate,3700333,2017,Salary Amount for Teachers,1684218,,,,,,,,,,,,
NC,Invest Collegiate,3700333,2017,Instructional Aides,29822,2,,,,,,,,,,,
NC,Invest Collegiate,3700333,2017,School Administration Staff,160300,3,,,,,,,,,,,
NC,Invest Collegiate,3700333,2017,Support Services Staff (for Pupils and for Instructional Staff),1068,5,,,,,,,,,,,
NC,Invest Collegiate,3700333,2017,Non-Personnel Expenditures,1364836,,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2017,Salary Amount for Total Personnel (instructional support services and school administration),900147,,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2017,Salary Amount for Teachers,644230,,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2017,Instructional Aides,70437,2.5,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2017,School Administration Staff,144982,2,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2017,Support Services Staff (for Pupils and for Instructional Staff),40498,1.5,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2017,Non-Personnel Expenditures,710731,,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2017,Salary Amount for Total Personnel (instructional support services and school administration),0,,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2017,Salary Amount for Teachers,338669,,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2017,Instructional Aides,44242,2,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2017,School Administration Staff,78125,1,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2017,Support Services Staff (for Pupils and for Instructional Staff),4740,0.5,,,,,,,,,,,
NC,Aristotle Preparatory Academy,3700350,2017,Non-Personnel Expenditures,1221768,,,,,,,,,,,,
NC,Uproar Leadership Academy,3700416,2017,Salary Amount for Total Personnel (instructional support services and school administration),493700,,,,,,,,,,,,
NC,Uproar Leadership Academy,3700416,2017,Salary Amount for Teachers,306570,,,,,,,,,,,,
NC,Uproar Leadership Academy,3700416,2017,Instructional Aides,72312,2,,,,,,,,,,,
NC,Uproar Leadership Academy,3700416,2017,School Administration Staff,77525,2,,,,,,,,,,,
NC,Uproar Leadership Academy,3700416,2017,Support Services Staff (for Pupils and for Instructional Staff),37293,1,,,,,,,,,,,
NC,Uproar Leadership Academy,3700416,2017,Non-Personnel Expenditures,448106,,,,,,,,,,,,
NC,Unity Classical Charter School,3700409,2017,Salary Amount for Total Personnel (instructional support services and school administration),398497,,,,,,,,,,,,
NC,Unity Classical Charter School,3700409,2017,Salary Amount for Teachers,275283,,,,,,,,,,,,
NC,Unity Classical Charter School,3700409,2017,Instructional Aides,45733,2,,,,,,,,,,,
NC,Unity Classical Charter School,3700409,2017,School Administration Staff,75780,1,,,,,,,,,,,
NC,Unity Classical Charter School,3700409,2017,Support Services Staff (for Pupils and for Instructional Staff),1701,1,,,,,,,,,,,
NC,Unity Classical Charter School,3700409,2017,Non-Personnel Expenditures,283077,,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2017,Salary Amount for Total Personnel (instructional support services and school administration),1224977,,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2017,Salary Amount for Teachers,1011026,,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2017,Instructional Aides,11080,1,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2017,School Administration Staff,152872,2,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2017,Support Services Staff (for Pupils and for Instructional Staff),49999,2,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2017,Non-Personnel Expenditures,54377,,,,,,,,,,,,
NC,Commonwealth High School,3700382,2017,Salary Amount for Total Personnel (instructional support services and school administration),517602,,,,,,,,,,,,
NC,Commonwealth High School,3700382,2017,Salary Amount for Teachers,327539,,,,,,,,,,,,
NC,Commonwealth High School,3700382,2017,Instructional Aides,0,0,,,,,,,,,,,
NC,Commonwealth High School,3700382,2017,School Administration Staff,151263,151263,,,,,,,,,,,
NC,Commonwealth High School,3700382,2017,Support Services Staff (for Pupils and for Instructional Staff),38800,38800,,,,,,,,,,,
NC,Commonwealth High School,3700382,2017,Non-Personnel Expenditures,1691186,,,,,,,,,,,,
NC,Movement Charter School,3700411,2017,Salary Amount for Total Personnel (instructional support services and school administration),1245910,,,,,,,,,,,,
NC,Movement Charter School,3700411,2017,Salary Amount for Teachers,858343,,,,,,,,,,,,
NC,Movement Charter School,3700411,2017,Instructional Aides,313113,12,,,,,,,,,,,
NC,Movement Charter School,3700411,2017,School Administration Staff,148016,2,,,,,,,,,,,
NC,Movement Charter School,3700411,2017,Support Services Staff (for Pupils and for Instructional Staff),122385,4,,,,,,,,,,,
NC,Movement Charter School,3700411,2017,Non-Personnel Expenditures,557818,,,,,,,,,,,,
NC,Queen City STEM School,3700392,2017,Salary Amount for Total Personnel (instructional support services and school administration),1728716,,,,,,,,,,,,
NC,Queen City STEM School,3700392,2017,Salary Amount for Teachers,1271269,,,,,,,,,,,,
NC,Queen City STEM School,3700392,2017,Instructional Aides,80000,4,,,,,,,,,,,
NC,Queen City STEM School,3700392,2017,School Administration Staff,207447,3,,,,,,,,,,,
NC,Queen City STEM School,3700392,2017,Support Services Staff (for Pupils and for Instructional Staff),170000,6,,,,,,,,,,,
NC,Queen City STEM School,3700392,2017,Non-Personnel Expenditures,1217876,,,,,,,,,,,,
