Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,Total enrollment,,,2,25,2,91,211,262,19,612,71,19,37
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2266416,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,Salary Amount for Teachers,1530000,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,Instructional Aides,156026,6.5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,School Administration Staff,177972,1.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),402416,6.21,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,Non-Personnel Expenditures,192025,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Long Creek Elementary,3.70297E+11,2015,Total enrollment,,,4,25,0,82,235,130,16,492,59,4,43
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3484601,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,Salary Amount for Teachers,2649164,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,Instructional Aides,250615,17,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,School Administration Staff,198993,1.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),385828,6.94,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,Non-Personnel Expenditures,202383,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Matthews Elementary,3.70297E+11,2015,Total enrollment,,,4,73,0,124,184,610,19,1014,65,13,76
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3614866,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,Salary Amount for Teachers,2761369,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,Instructional Aides,86749,5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,School Administration Staff,340641,3.2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),426106,8.16,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,Non-Personnel Expenditures,706645,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McClintock Middle,3.70297E+11,2015,Total enrollment,,,7,58,2,229,475,109,40,920,92,19,106
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3638825,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,Salary Amount for Teachers,1385360,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,Instructional Aides,1140610,83.29,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,School Administration Staff,376109,3.47,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),736744,11.13,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,Non-Personnel Expenditures,279411,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Metro School,3.70297E+11,2015,Total enrollment,,,2,10,2,52,124,52,8,250,251,0,37
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2254813,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,Salary Amount for Teachers,1675893,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,Instructional Aides,132422,7,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,School Administration Staff,163597,2.24,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),282899,5.7,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,Non-Personnel Expenditures,238481,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Montclaire Elementary,3.70297E+11,2015,Total enrollment,,,2,7,0,403,55,16,2,485,44,2,298
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),9972097,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,Salary Amount for Teachers,7921858,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,Instructional Aides,97698,13.5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,School Administration Staff,548062,5.34,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),1404477,16.24,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,Non-Personnel Expenditures,793262,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park High,3.70297E+11,2015,Total enrollment,,,7,106,0,259,724,1738,46,2880,239,118,115
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2606774,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,Salary Amount for Teachers,1928322,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,Instructional Aides,156000,9,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,School Administration Staff,185752,3,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),336699,6.2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,Non-Personnel Expenditures,187040,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Myers Park Traditional,3.70297E+11,2015,Total enrollment,,,7,52,0,40,340,250,10,699,53,13,22
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2971327,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,Salary Amount for Teachers,2261357,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,Instructional Aides,201599,11,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,School Administration Staff,219222,2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),289148,6.32,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,Non-Personnel Expenditures,405939,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Nations Ford Elementary,3.70297E+11,2015,Total enrollment,,,0,7,0,541,247,16,0,811,50,5,346
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3241481,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,Salary Amount for Teachers,2343722,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,Instructional Aides,228622,15,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,School Administration Staff,253667,2.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),415469,8.39,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,Non-Personnel Expenditures,361697,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Newell Elementary,3.70297E+11,2015,Total enrollment,,,7,13,0,421,346,37,19,843,38,4,235
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2976448,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,Salary Amount for Teachers,2096817,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,Instructional Aides,186837,9.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,School Administration Staff,199861,1.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),492932,8.06,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,Non-Personnel Expenditures,308867,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Merry Oaks Elementary,3.70297E+11,2015,Total enrollment,,,2,64,2,427,226,16,4,741,56,2,370
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),1969531,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Salary Amount for Teachers,1039777,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Instructional Aides,191922,12.95,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,School Administration Staff,202025,3.66,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),535806,17.58,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Non-Personnel Expenditures,92588,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Total enrollment,,,0,0,0,7,73,19,5,104,95,0,2
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2980863,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,Salary Amount for Teachers,2246259,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,Instructional Aides,252113,12,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,School Administration Staff,207345,3.4,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),275145,5.95,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,Non-Personnel Expenditures,196465,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Reedy Creek Elementary,3.70297E+11,2015,Total enrollment,,,4,40,0,226,445,73,31,819,68,7,112
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2701730,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,Salary Amount for Teachers,2027084,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,Instructional Aides,130403,8.5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,School Administration Staff,242797,3.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),301445,6.82,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,Non-Personnel Expenditures,165999,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek Elementary,3.70297E+11,2015,Total enrollment,,,10,97,4,85,439,73,16,724,41,10,43
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2313906,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,Salary Amount for Teachers,1572129,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,Instructional Aides,288049,14,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,School Administration Staff,198434,1.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),255293,5.34,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,Non-Personnel Expenditures,116973,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,McKee Road Elementary,3.70297E+11,2015,Total enrollment,,,4,67,2,49,46,358,7,533,68,13,19
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),6571764,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Salary Amount for Teachers,5315777,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Instructional Aides,105620,13,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,School Administration Staff,468579,4,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),681786,11.32,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Non-Personnel Expenditures,540181,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Total enrollment,,,4,220,5,118,169,1447,49,2012,128,85,46
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),1953973,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Salary Amount for Teachers,1025234,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Instructional Aides,8584,1,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,School Administration Staff,325243,3.34,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),594911,9.17,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Non-Personnel Expenditures,338774,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Total enrollment,,,2,4,0,31,88,19,4,148,2,7,2
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3659144,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,Salary Amount for Teachers,2702081,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,Instructional Aides,301585,18.2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,School Administration Staff,198763,1.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),456713,7.94,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,Non-Personnel Expenditures,252371,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lebanon Road Elementary,3.70297E+11,2015,Total enrollment,,,7,19,4,352,328,145,10,865,98,7,151
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2517025,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,Salary Amount for Teachers,1746703,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,Instructional Aides,167260,9.66,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,School Administration Staff,232757,3.7,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),370304,9.51,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,Non-Personnel Expenditures,226428,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Hornets Nest Elementary,3.70297E+11,2015,Total enrollment,,,2,40,2,160,433,19,19,675,50,16,82
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),7668552,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Salary Amount for Teachers,6344643,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Instructional Aides,100437,11,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,School Administration Staff,404590,3.97,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),818882,14.42,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Non-Personnel Expenditures,571207,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Total enrollment,,,10,88,2,409,676,853,88,2126,170,64,103
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3640694,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,Salary Amount for Teachers,2734045,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,Instructional Aides,116069,4.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,School Administration Staff,312838,3.66,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),477741,11.19,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,Non-Personnel Expenditures,549788,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,James Martin Middle,3.70297E+11,2015,Total enrollment,,,7,49,0,292,658,40,22,1068,131,7,121
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),7182264,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2015,Salary Amount for Teachers,5120498,,,,,,,,,,,,
